name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238,16,44400,81400,56,3
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350,14,51600,89800,88,5
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,14,46000,83600,57,26
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,20,39800,71500,61,16
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,3,50300,90000,67,6
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260,18,49700,85900,62,2
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155,7,52100,99300,44,23
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752,10,40900,69500,67,19
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252,5,51600,91300,NA,0
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256,15,48400,89900,52,15
Amberton University,Texas,TX,Private,4 Year,NA,12840,12840,12840,12840,24,52800,93600,57,0
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166,10,63800,116500,45,32
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,24,35700,65900,NA,0
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366,21,47600,85000,51,7
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,5,42600,76600,NA,7
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,13,45000,76900,54,7
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251,16,46600,81500,60,10
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358,20,39400,70800,59,4
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,15,45000,78800,51,9
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,1,54400,104500,51,31
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,13,45000,79600,61,12
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080,12,50500,91000,52,11
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,13,47000,84400,69,10
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167,20,44200,78200,63,10
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100,17,45900,81200,68,3
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416,4,72000,133800,37,0
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240,10,47800,84200,55,2
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702,22,45600,83700,48,7
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950,24,47400,84400,66,12
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756,22,48400,86300,NA,0
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018,3,59500,111900,50,23
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322,12,55500,101400,49,16
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800,7,41200,74300,60,2
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450,3,49000,90700,54,11
Bellevue College,Washington,WA,Public,2 Year,NA,4258,4258,9689,9689,18,50100,88500,56,14
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120,10,49400,84800,57,23
Bellin College,Wisconsin,WI,Private,4 Year,NA,22178,22178,22178,22178,6,55800,97600,94,0
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430,17,47300,80900,47,3
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870,17,47400,85700,59,24
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830,3,48700,91800,69,13
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970,6,48800,90000,50,5
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200,9,66600,116600,36,7
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754,19,39500,71600,53,27
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326,12,44900,84900,44,21
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468,4,50100,86400,55,14
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942,11,63600,115400,43,13
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668,13,61400,113600,43,25
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620,2,61300,112000,54,37
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777,18,50300,89900,65,11
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380,6,55600,104900,46,38
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835,14,60600,113200,48,29
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600,10,44300,81200,53,7
Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146,1,51700,93900,57,12
Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710,2,53700,93500,59,14
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754,5,66700,122900,40,40
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950,7,51800,99300,53,9
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887,3,84100,151600,53,97
Calvin College,Michigan,MI,Private,4 Year,10200,34600,44800,34600,44800,13,50200,91100,54,23
Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322,11,43900,81500,54,14
Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400,24,37600,66800,50,7
Capitol Technology University,Maryland,MD,Private,4 Year,5708,25428,31136,25428,31136,2,67400,118400,63,88
Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440,29998,38438,29998,38438,20,47000,82500,51,2
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844,1,58800,109900,47,45
Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418,55465,69883,55465,69883,1,75900,136100,45,66
Carroll College,Montana,MT,Private,4 Year,9880,35486,45366,35486,45366,3,48200,91400,55,25
Carroll University,Wisconsin,WI,Private,4 Year,9484,31918,41402,31918,41402,16,45600,86500,49,14
Carson-Newman University,Tennessee,TN,Private,4 Year,8810,27900,36710,27900,36710,23,42700,76500,61,5
Carthage College,Wisconsin,WI,Private,4 Year,11990,43550,55540,43550,55540,18,48900,85400,48,17
Case Western Reserve University,Ohio,OH,Private,4 Year,15190,49042,64232,49042,64232,1,66600,117800,44,37
Castleton University,Vermont,VT,Public,4 Year,10598,12314,22912,28322,38920,11,41700,76200,52,6
Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400,36580,49980,36580,49980,10,47000,88400,37,26
Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700,18,36900,68000,NA,3
Central Christian College of Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960,25,37100,66100,NA,2
Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575,9,49000,88800,55,36
Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032,12,53100,93700,45,15
Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036,23,47700,83600,46,13
Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168,14,52700,93200,47,13
Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180,4,49500,88500,52,22
Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576,16,42300,76700,66,3
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004,4,45400,84000,55,3
Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364,7,51100,88400,39,14
Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,NA,17440,17440,17440,17440,5,78300,135700,NA,3
Charter Oak State College,Connecticut,CT,Public,4 Year,NA,10161,10161,13101,13101,18,49200,85900,68,2
Christian Brothers University,Tennessee,TN,Private,4 Year,7400,32820,40220,32820,40220,4,51500,96500,60,14
Christopher Newport University,Virginia,VA,Public,4 Year,11460,14754,26214,27220,38680,17,50800,87200,55,25
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110,9,68500,125400,43,16
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960,18,46300,81100,54,15
Clark College,Washington,WA,Public,2 Year,NA,4287,4287,9718,9718,24,43500,78400,NA,9
Clark University,Massachusetts,MA,Private,4 Year,9170,45730,54900,45730,54900,23,52600,101400,47,14
Clarke University,Iowa,IA,Private,4 Year,9600,33350,42950,33350,42950,20,44900,80200,52,6
Clarkson College,Nebraska,NE,Private,4 Year,5398,16920,22318,16920,22318,4,50900,91500,74,0
Cleary University,Michigan,MI,Private,4 Year,9600,20250,29850,20250,29850,22,47400,84700,50,0
Cleveland State University,Ohio,OH,Public,4 Year,13560,10625,24185,14992,28552,21,48300,88600,51,20
Coe College,Iowa,IA,Private,4 Year,9480,45000,54480,45000,54480,13,47200,86900,41,24
Colby College,Maine,ME,Private,4 Year,14190,55210,69400,55210,69400,4,59200,103300,50,25
College for Creative Studies,Michigan,MI,Private,4 Year,8800,44110,52910,44110,52910,16,51200,89800,40,0
College of Saint Mary,Nebraska,NE,Private,4 Year,7700,20350,28050,20350,28050,14,43900,77700,45,9
College of the Holy Cross,Massachusetts,MA,Private,4 Year,14520,52770,67290,52770,67290,12,61800,114600,46,24
College of William and Mary,Virginia,VA,Public,4 Year,12236,23400,35636,44701,56937,5,59000,108900,42,21
Colorado Christian University,Colorado,CO,Private,4 Year,11846,31866,43712,31866,43712,17,46800,80100,70,2
Colorado College,Colorado,CO,Private,4 Year,12512,55470,67982,55470,67982,5,53100,97900,48,23
Colorado Mesa University,Colorado,CO,Public,4 Year,10925,9243,20168,22440,33365,14,47800,81500,55,7
Colorado School of Mines,Colorado,CO,Public,4 Year,13169,18964,32133,38584,51753,1,75600,139600,60,93
Columbus State University,Georgia,GA,Public,4 Year,9880,7200,17080,20682,30562,25,43300,77900,59,10
Connecticut College,Connecticut,CT,Private,4 Year,15150,54820,69970,54820,69970,8,57500,100800,36,30
Corban University,Oregon,OR,Private,4 Year,10228,33040,43268,33040,43268,21,42500,77300,63,1
Cornell College,Iowa,IA,Private,4 Year,9384,42299,51683,42299,51683,6,49600,90600,47,22
Cornish College of the Arts,Washington,WA,Private,4 Year,12400,41642,54042,41642,54042,21,49000,86400,39,0
Covenant College,Georgia,GA,Private,4 Year,10260,34330,44590,34330,44590,24,44400,79400,62,19
Creighton University,Nebraska,NE,Private,4 Year,11036,39916,50952,39916,50952,2,53500,95800,56,9
Cumberland University,Tennessee,TN,Private,4 Year,9290,22890,32180,22890,32180,16,45500,81000,61,3
Delaware State University,Delaware,DE,Public,4 Year,12190,7868,20058,16904,29094,3,46300,81900,62,10
Delta State University,Mississippi,MS,Public,4 Year,7722,7246,14968,7246,14968,8,40800,74200,63,5
Denison University,Ohio,OH,Private,4 Year,12710,51960,64670,51960,64670,5,54400,104800,45,22
DePaul University,Illinois,IL,Private,4 Year,14235,39975,54210,39975,54210,8,55700,102900,43,15
DePauw University,Indiana,IN,Private,4 Year,13020,49704,62724,49704,62724,5,56600,101000,47,24
Dickinson College,Pennsylvania,PA,Private,4 Year,13698,54661,68359,54661,68359,21,55800,100100,46,25
Dillard University,Louisiana,LA,Private,4 Year,10100,18099,28199,18099,28199,17,44700,79800,74,20
Dordt College,Iowa,IA,Private,4 Year,9590,30870,40460,30870,40460,8,51000,89600,57,17
Drake University,Iowa,IA,Private,4 Year,10528,41396,51924,41396,51924,2,52800,99900,49,7
Drexel University,Pennsylvania,PA,Private,4 Year,14079,53279,67358,53279,67358,9,61700,114800,47,28
Drury University,Missouri,MO,Private,4 Year,8096,28365,36461,28365,36461,19,42600,79400,60,12
Earlham College,Indiana,IN,Private,4 Year,10400,46450,56850,46450,56850,13,49100,88400,57,31
East Central University,Oklahoma,OK,Public,4 Year,5514,6810,12324,17700,23214,17,44700,77500,66,9
East Tennessee State University,Tennessee,TN,Public,4 Year,8472,9277,17749,28459,36931,22,43700,77300,57,8
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560,11356,24916,22596,36156,17,49200,87800,43,14
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018,9296,18314,19074,28092,11,45600,80700,56,5
Eastern Michigan University,Michigan,MI,Public,4 Year,9854,13959,23813,13959,23813,18,47300,86700,50,6
Eastern Oregon University,Oregon,OR,Public,4 Year,10040,8679,18719,20739,30779,23,44000,73900,56,5
Eastern Washington University,Washington,WA,Public,4 Year,12793,7323,20116,24444,37237,20,49500,87500,52,17
Eckerd College,Florida,FL,Private,4 Year,12588,44540,57128,44540,57128,17,49200,88400,52,25
Edgewood College,Wisconsin,WI,Private,4 Year,11020,29500,40520,29500,40520,15,49500,87500,54,5
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762,2,62000,110800,44,20
Emporia State University,Kansas,KS,Public,4 Year,8912,6758,15670,20675,29587,19,43500,78000,60,9
Fairfield University,Connecticut,CT,Private,4 Year,14710,48350,63060,48350,63060,4,62300,116900,41,17
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440,21,39400,71300,61,2
Ferris State University,Michigan,MI,Public,4 Year,9894,12630,22524,12630,22524,17,50000,89300,50,8
Ferrum College,Virginia,VA,Private,4 Year,11500,34175,45675,34175,45675,25,43000,80600,54,6
Fisk University,Tennessee,TN,Private,4 Year,10790,21480,32270,21480,32270,11,45300,83600,53,39
Florida Agricultural and Mechanical University,Florida,FL,Public,4 Year,10594,5827,16421,17768,28362,25,48000,83900,62,8
Florida Atlantic University,Florida,FL,Public,4 Year,11896,6039,17935,21595,33491,11,49400,91200,51,15
Florida Institute of Technology,Florida,FL,Private,4 Year,12880,41850,54730,41850,54730,3,58300,105400,53,48
Florida International University,Florida,FL,Public,4 Year,10882,6558,17440,18956,29838,13,49600,90100,51,16
Florida State University,Florida,FL,Public,4 Year,10816,6516,17332,21683,32499,8,50800,92700,49,18
Fort Hays State University,Kansas,KS,Public,4 Year,8300,5133,13433,15201,23501,16,45100,79300,64,6
Fort Lewis College,Colorado,CO,Public,4 Year,9878,9040,18918,19696,29574,13,48300,82600,55,19
Franklin College,Indiana,IN,Private,4 Year,9946,32010,41956,32010,41956,16,48900,86200,45,21
Freed-Hardeman University,Tennessee,TN,Private,4 Year,8260,21950,30210,21950,30210,20,43700,78200,54,9
Friends University,Kansas,KS,Private,4 Year,7972,28415,36387,28415,36387,21,44700,76500,59,14
Frostburg State University,Maryland,MD,Public,4 Year,10202,9172,19374,22892,33094,21,49600,87000,48,19
George Fox University,Oregon,OR,Private,4 Year,11250,36020,47270,36020,47270,13,51200,89600,52,8
George Mason University,Virginia,VA,Public,4 Year,11460,12462,23922,35922,47382,8,58900,105700,48,23
Georgetown College,Kentucky,KY,Private,4 Year,9780,38650,48430,38650,48430,9,45000,81900,54,10
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974,8,49000,88000,49,17
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810,7,50600,90800,47,18
Gettysburg College,Pennsylvania,PA,Private,4 Year,13010,54480,67490,54480,67490,12,58400,109300,39,24
Goddard College,Vermont,VT,Private,4 Year,1698,16586,18284,16586,18284,10,42700,76900,NA,0
